deviceinfo_deviceid,max,count,sum
3.58E+14,40,31419,19880467
3.56E+14,30,10306,19824159
3.57E+14,38,13767,19823886
3.56E+14,27,10363,19822152
3.58E+14,25,9966,19782301
3.58E+14,23,13645,19756406
3.56E+14,28,10066,19732564
3.58E+14,39,12818,19683895
3.57E+14,38,33668,19601358
3.58E+14,29,8586,19569925
3.58E+14,27,11944,19518854
3.58E+14,27,13121,19515229
3.58E+14,26,12176,19443067
3.58E+14,23,9286,19409609
3.56E+14,26,11263,19370693
3.58E+14,23,13494,19345850
3.55E+14,39,19545,19324299
3.56E+14,27,12718,19300440
3.58E+14,26,7275,19244309
3.58E+14,43,31171,19198495
3.58E+14,25,9963,19155187
3.54E+14,39,42732,19146445
3.58E+14,23,18028,19117483
9.90E+14,49,15477,18922806
3.58E+14,21,13148,18897053
3.54E+14,56,28615,18880907
3.58E+14,25,8488,18822029
3.58E+14,36,12159,18736839
3.56E+14,25,10572,18706801
R52H10L44CR,31,12310,18654508
3.56E+14,26,14013,18627895
3.56E+14,23,10540,18627082
3.56E+14,26,13724,18627046
3.56E+14,29,8161,18551993
3.58E+14,28,9731,18517929
3.58E+14,26,12599,18443797
3.58E+14,28,7947,18428557
3.58E+14,27,12073,18397802
3.58E+14,26,9018,18361123
3.58E+14,28,8369,18339923
3.58E+14,25,18032,18334208
3.58E+14,25,11030,18296161
3.58E+14,25,20570,18262367
3.58E+14,22,13261,18180172
3.56E+14,27,9815,18167525
3.58E+14,23,15337,18160440
3.58E+14,41,16001,18136717
3.54E+14,50,36405,18059546
3.56E+14,29,8472,18031390
3.58E+14,24,9143,18000329
3.58E+14,25,10576,17979231
3.56E+14,29,8772,17951802
3.58E+14,24,12470,17951165
3.58E+14,26,14388,17941165
3.55E+14,38,15138,17929052
3.58E+14,27,13523,17917977
3.58E+14,24,10807,17915923
3.56E+14,22,8399,17888955
3.58E+14,24,6616,17885213
3.56E+14,25,9880,17880938
3.58E+14,21,8888,17846603
3.56E+14,23,9480,17793942
3.58E+14,29,26858,17743123
3.56E+14,25,12042,17724190
3.57E+14,39,28592,17720920
3.58E+14,28,11222,17673465
3.58E+14,18,7468,17565330
3.56E+14,25,9897,17520710
3.58E+14,39,21676,17500700
3.58E+14,26,18731,17497032
3.58E+14,21,9615,17494272
3.58E+14,31,7258,17489549
3.56E+14,30,11479,17488473
3.58E+14,25,10626,17453723
3.56E+14,23,12636,17417484
3.58E+14,29,11896,17326627
3.58E+14,26,10474,17324528
3.58E+14,25,9675,17269829
9.90E+14,50,33805,17074305
3.58E+14,27,8225,17035487
3.53E+14,46,24672,16999481
3.58E+14,25,14888,16932975
3.53E+14,46,58897,16895657
3.55E+14,28,29592,16884763
3.58E+14,26,14284,16855028
3.58E+14,36,28472,16847891
3.58E+14,25,16261,16842660
3.55E+14,41,22434,16774445
3.58E+14,27,13183,16736597
3.58E+14,28,9814,16685635
3.56E+14,24,14372,16669108
3.56E+14,29,11533,16666922
3.58E+14,26,19731,16649730
3.56E+14,29,9699,16649116
3.54E+14,29,11057,16595792
3.58E+14,27,10569,16534636
3.56E+14,29,10857,16532550
3.58E+14,24,6927,16471499
3.58E+14,37,22899,16453017
3.58E+14,26,9484,16449305
3.57E+14,39,17936,16416249
3.58E+14,26,10910,16416239
3.58E+14,27,8800,16334306
3.56E+14,40,30638,16318052
3.56E+14,26,10674,16273088
3.58E+14,29,8793,16238388
3.54E+14,49,34086,16226771
3.58E+14,25,10316,16222099
3.58E+14,27,10042,16217058
3.56E+14,41,11487,16102050
3.56E+14,28,8206,16088222
9.90E+14,44,11161,16079736
3.58E+14,25,13452,16043919
3.58E+14,24,10309,16026857
3.56E+14,27,6662,15961922
3.58E+14,23,10302,15905869
3.53E+14,42,28203,15866909
3.58E+14,25,7365,15829845
3.58E+14,25,8153,15825623
3.55E+14,35,33872,15768446
3.58E+14,27,14913,15680711
3.58E+14,24,9046,15514089
3.58E+14,27,8215,15464518
3.58E+14,27,9771,15428116
9.90E+14,46,14012,15416603
3.54E+14,35,18615,15412088
3.58E+14,27,11730,15339363
3.57E+14,49,23129,15313931
3.58E+14,24,14480,15292203
3.57E+14,36,28301,15255970
3.56E+14,22,14713,15092178
3.59E+14,50,25797,15034190
3.53E+14,31,9060,15034111
3.58E+14,25,8295,15008685
3.59E+14,30,10269,14998459
3.56E+14,28,11287,14988896
3.56E+14,23,9631,14984275
3.58E+14,31,6437,14974478
3.58E+14,22,16651,14954890
3.56E+14,24,8854,14907322
3.59E+14,44,54172,14889364
3.56E+14,24,12916,14827654
3.58E+14,56,100445,14789342
3.58E+14,26,10980,14773376
3.55E+14,40,22196,14768137
3.56E+14,25,11586,14763062
3.58E+14,49,16266,14727391
3.56E+14,24,8582,14704841
3.58E+14,28,20236,14686324
3.56E+14,23,10131,14673528
3.56E+14,27,10993,14667419
3.57E+14,48,30676,14591302
3.56E+14,25,7343,14555608
3.56E+14,24,7610,14502754
3.58E+14,25,9742,14483207
3.58E+14,23,9081,14458961
9.90E+14,48,21088,14367809
3.58E+14,28,11904,14336361
3.58E+14,22,13019,14312445
3.58E+14,25,6689,14303569
3.58E+14,25,13178,14275571
9.90E+14,46,17719,14274579
3.58E+14,26,13595,14241868
3.58E+14,23,7354,14186616
3.58E+14,24,9349,14122014
3.58E+14,30,8593,14093322
3.56E+14,22,11400,14082448
3.58E+14,24,12313,14078506
3.54E+14,50,7685,14070384
3.58E+14,29,8165,14006270
3.52E+14,26,15565,13997394
3.58E+14,24,7212,13989206
3.54E+14,37,7308,13972615
3.58E+14,29,13640,13967256
3.54E+14,33,4546,13876767
3.58E+14,24,4303,13853737
3.58E+14,27,11275,13845868
3.59E+14,28,7865,13806744
3.58E+14,26,25830,13746659
3.58E+14,24,7441,13710939
